backend,tag,image,w,h,n,K,seed,iters,load_ms,seed_ms,lloyd_ms,write_ms,h2d_ms,d2h_ms
seq,O0,data/test_1024.png,1024,1024,1048576,16,42,30,34.7281,101.0456,2063.7144,0.6124,,
seq,O1,data/test_1024.png,1024,1024,1048576,16,42,30,28.2397,28.5360,473.4748,1.0435,,
seq,O2,data/test_1024.png,1024,1024,1048576,16,42,30,18.3276,21.7413,473.3192,1.0826,,
seq,O3,data/test_1024.png,1024,1024,1048576,16,42,30,20.8928,19.2642,477.1909,1.0817,,
seq,O3,data/test_512.png,512,512,262144,4,42,30,6.4008,1.1905,38.6454,0.4711,,
cuda,v1,data/test_512.png,512,512,262144,4,42,30,5.8461,1.1356,14.5406,0.3630,0.1584,0.1046
cuda,v2,data/test_512.png,512,512,262144,4,42,30,5.6847,1.1467,12.6269,0.4498,0.1540,0.1153
cuda,v3,data/test_512.png,512,512,262144,4,42,30,6.7813,2.1683,4.5486,0.3841,0.1581,0.1038
cuda,v4,data/test_512.png,512,512,262144,4,42,30,4.6218,1.1313,2.1177,0.3521,0.1558,0.1200
seq,O3,data/test_512.png,512,512,262144,8,42,30,6.2323,2.2562,66.5717,0.3603,,
cuda,v1,data/test_512.png,512,512,262144,8,42,30,5.6929,2.1607,10.8411,0.3831,0.1588,0.1019
cuda,v2,data/test_512.png,512,512,262144,8,42,30,6.3706,2.2190,10.6771,0.3696,0.1525,0.1042
cuda,v3,data/test_512.png,512,512,262144,8,42,30,6.8214,4.2312,3.9169,0.3745,0.1533,0.1029
cuda,v4,data/test_512.png,512,512,262144,8,42,30,4.6603,2.2298,2.3695,0.3701,0.1528,0.1035
seq,O3,data/test_512.png,512,512,262144,16,42,30,6.7598,6.5646,117.9158,0.3732,,
cuda,v1,data/test_512.png,512,512,262144,16,42,30,5.3883,4.4377,10.8666,0.3795,0.1512,0.1037
cuda,v2,data/test_512.png,512,512,262144,16,42,30,4.6552,4.2652,10.7172,0.3708,0.1504,0.1019
cuda,v3,data/test_512.png,512,512,262144,16,42,30,4.5673,4.2337,4.4142,0.3881,0.1497,0.1041
cuda,v4,data/test_512.png,512,512,262144,16,42,30,4.5150,4.3569,2.6489,0.3907,0.1525,0.1034
seq,O3,data/test_512.png,512,512,262144,32,42,30,6.7497,11.3718,237.3724,0.3665,,
cuda,v1,data/test_512.png,512,512,262144,32,42,30,6.7708,13.7899,11.1000,0.3866,0.1511,0.1078
cuda,v2,data/test_512.png,512,512,262144,32,42,30,6.7884,9.0370,10.9713,0.3815,0.1606,0.1041
cuda,v3,data/test_512.png,512,512,262144,32,42,30,4.6160,8.3242,4.9745,1.4125,0.1684,0.1064
cuda,v4,data/test_512.png,512,512,262144,32,42,30,4.7482,8.3473,3.6813,0.3785,0.1518,0.1013
seq,O3,data/test_512.png,512,512,262144,64,42,30,6.8263,22.1157,501.0172,0.4292,,
cuda,v1,data/test_512.png,512,512,262144,64,42,30,4.5477,16.7324,7.3625,0.3759,0.1506,0.1013
cuda,v2,data/test_512.png,512,512,262144,64,42,30,4.8491,16.9467,7.4257,0.4006,0.1539,0.1017
cuda,v3,data/test_512.png,512,512,262144,64,42,30,4.8361,16.9985,6.5224,0.3928,0.1514,0.1085
cuda,v4,data/test_512.png,512,512,262144,64,42,30,6.7765,20.2109,5.4619,0.3679,0.1507,0.1018
seq,O3,data/test_1024.png,1024,1024,1048576,4,42,30,20.1128,4.7617,150.3515,0.8860,,
cuda,v1,data/test_1024.png,1024,1024,1048576,4,42,30,24.1669,4.8356,40.8166,1.1384,0.5705,0.3407
cuda,v2,data/test_1024.png,1024,1024,1048576,4,42,30,17.7706,4.6193,40.5238,1.1624,0.5631,0.3258
cuda,v3,data/test_1024.png,1024,1024,1048576,4,42,30,20.4857,4.9109,12.6177,1.0831,0.5659,0.3372
cuda,v4,data/test_1024.png,1024,1024,1048576,4,42,30,23.6400,4.9543,3.8175,1.0570,0.5640,0.3304
seq,O3,data/test_1024.png,1024,1024,1048576,8,42,30,17.9945,10.5462,259.3612,1.0850,,
cuda,v1,data/test_1024.png,1024,1024,1048576,8,42,30,23.3687,10.0345,40.0015,1.1022,0.5664,0.3496
cuda,v2,data/test_1024.png,1024,1024,1048576,8,42,30,21.2124,10.2426,39.8234,1.1776,0.5790,0.3223
cuda,v3,data/test_1024.png,1024,1024,1048576,8,42,30,17.3288,10.0428,12.9433,1.1515,0.5659,0.3416
